"TOA5","CR6","CR6","3702","CR6.14.4.0","CPU:Gill_R3-50.CR6","258","gill_20hz"
"TIMESTAMP","RECORD","staA","staD","Ux_gill","Uy_gill","Uz_gill","temp_gill","AWS"
"TS","RN","none","none","m/s","m/s","m/s","Celsius",""
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2025-09-23 16:40:07.45",107745,6,1,5.51,-0.19,0.45,34.67,5.513275
"2025-09-23 16:40:07.5",107746,1,10,5.96,0.45,0.12,34.7,5.976964
"2025-09-23 16:40:07.55",107747,2,38,5.92,-0.43,0.12,34.7,5.935596
"2025-09-23 16:40:07.6",107748,3,0,5.72,-0.43,-0.12,34.69,5.73614
"2025-09-23 16:40:07.65",107749,4,0,5.25,0.03,0.21,34.67,5.250086
"2025-09-23 16:40:07.7",107750,5,0,5.56,0.44,-0.53,34.68,5.577383
"2025-09-23 16:40:07.75",107751,6,1,5.76,0.14,-0.08,34.71,5.761701
"2025-09-23 16:40:07.8",107752,1,10,5.9,-0.26,-0.01,34.7,5.905726
"2025-09-23 16:40:07.85",107753,2,38,5.2,0.2,0.12,34.68,5.203845
"2025-09-23 16:40:07.9",107754,3,0,5.17,-0.29,0.25,34.68,5.178127
"2025-09-23 16:40:07.95",107755,4,0,5.27,-0.55,-0.23,34.68,5.298623
"2025-09-23 16:40:08",107756,5,0,5.14,-0.16,-0.37,34.67,5.142489
"2025-09-23 16:40:08.05",107757,6,1,4.61,0.15,-0.71,34.66,4.61244
"2025-09-23 16:40:08.1",107758,1,10,5,0.19,-0.43,34.69,5.003609
"2025-09-23 16:40:08.15",107759,2,38,5.54,-0.12,-0.35,34.71,5.541299
"2025-09-23 16:40:08.2",107760,3,0,5.46,0.53,-0.47,34.69,5.485663
"2025-09-23 16:40:08.25",107761,4,0,5.21,0.11,0.01,34.68,5.211161
"2025-09-23 16:40:08.3",107762,5,0,5.31,-0.12,-0.04,34.69,5.311356
"2025-09-23 16:40:08.35",107763,6,1,5.27,0.2,-0.06,34.7,5.273794
"2025-09-23 16:40:08.4",107764,1,10,5.1,0.17,0.13,34.69,5.102832
"2025-09-23 16:40:08.45",107765,2,38,4.98,0.29,-0.39,34.69,4.988437
"2025-09-23 16:40:08.5",107766,3,0,5.18,0.2,-0.23,34.67,5.183859
"2025-09-23 16:40:08.55",107767,4,0,6.12,-0.01,-0.02,34.73,6.120008
"2025-09-23 16:40:08.6",107768,5,0,5.77,-0.15,-0.33,34.68,5.771949
"2025-09-23 16:40:08.65",107769,6,1,6,0.07,-0.07,34.7,6.000409
"2025-09-23 16:40:08.7",107770,1,10,6.06,0.18,0.14,34.68,6.062673
"2025-09-23 16:40:08.75",107771,2,38,6.29,-0.51,0.07,34.71,6.310642
"2025-09-23 16:40:08.8",107772,3,0,5.83,-0.53,0.36,34.7,5.854041
"2025-09-23 16:40:08.85",107773,4,0,5.83,-0.14,0.12,34.68,5.831681
"2025-09-23 16:40:08.9",107774,5,0,5.42,-0.14,0.08,34.69,5.421808
"2025-09-23 16:40:08.95",107775,6,1,5.31,-0.16,0.12,34.71,5.31241
"2025-09-23 16:40:09",107776,1,10,5,0.08,-0.18,34.69,5.00064
"2025-09-23 16:40:09.05",107777,2,38,5.47,-0.09,-0.03,34.7,5.47074
"2025-09-23 16:40:09.1",107778,3,0,5.53,-0.07,-0.33,34.72,5.530443
"2025-09-23 16:40:09.15",107779,4,0,5.11,0.16,-0.28,34.68,5.112504
"2025-09-23 16:40:09.2",107780,5,0,5.63,-0.2,0.14,34.7,5.633552
"2025-09-23 16:40:09.25",107781,6,1,5.69,0.13,-0.06,34.67,5.691485
"2025-09-23 16:40:09.3",107782,1,10,5.88,0.5,0.18,34.69,5.90122
"2025-09-23 16:40:09.35",107783,2,38,5.84,-0.15,0.07,34.7,5.841926
"2025-09-23 16:40:09.4",107784,3,0,6.06,-0.23,0.07,34.69,6.064363
"2025-09-23 16:40:09.45",107785,4,0,5.65,-0.08,-0.09,34.67,5.650566
"2025-09-23 16:40:09.5",107786,5,0,5.41,0.26,-0.12,34.71,5.416244
"2025-09-23 16:40:09.55",107787,6,1,5.13,0.45,-0.23,34.69,5.149699
"2025-09-23 16:40:09.6",107788,1,10,5.06,0.37,-0.45,34.68,5.07351
"2025-09-23 16:40:09.65",107789,2,38,5.45,-0.12,-0.03,34.71,5.451321
"2025-09-23 16:40:09.7",107790,3,0,5.47,0.01,-0.03,34.69,5.470009
"2025-09-23 16:40:09.75",107791,4,0,5.65,0.36,0.15,34.65,5.661458
"2025-09-23 16:40:09.8",107792,5,0,5.65,0.41,-0.14,34.7,5.664856
"2025-09-23 16:40:09.85",107793,6,1,5.64,0.2,-0.18,34.72,5.643545
"2025-09-23 16:40:09.9",107794,1,10,5.84,0.57,-0.09,34.7,5.867751
"2025-09-23 16:40:09.95",107795,2,38,5.64,0.58,0.19,34.7,5.669744
"2025-09-23 16:40:10",107796,3,0,5.69,-0.12,-0.07,34.7,5.691266
"2025-09-23 16:40:10.05",107797,4,0,5.42,-0.64,-0.3,34.68,5.457655
"2025-09-23 16:40:10.1",107798,5,0,5.29,0.23,-0.18,34.67,5.294998
"2025-09-23 16:40:10.15",107799,6,1,5.48,-0.14,-0.3,34.69,5.481788
"2025-09-23 16:40:10.2",107800,1,10,5.32,0.42,-0.25,34.68,5.336554
"2025-09-23 16:40:10.25",107801,2,38,5.81,0.15,0.05,34.68,5.811936
"2025-09-23 16:40:10.3",107802,3,0,5.64,0.36,0.12,34.72,5.651478
"2025-09-23 16:40:10.35",107803,4,0,5.75,0.03,0.03,34.67,5.750078
"2025-09-23 16:40:10.4",107804,5,0,5.7,0.02,0.12,34.7,5.700035
"2025-09-23 16:40:10.45",107805,6,1,5.48,-0.1,0.03,34.69,5.480912
"2025-09-23 16:40:10.5",107806,1,10,5.34,0.34,0.01,34.7,5.350813
"2025-09-23 16:40:10.55",107807,2,38,5.41,0.23,0.14,34.69,5.414887
"2025-09-23 16:40:10.6",107808,3,0,5.5,-0.67,-0.02,34.71,5.540659
"2025-09-23 16:40:10.65",107809,4,0,5.1,-0.44,-0.12,34.68,5.118945
"2025-09-23 16:40:10.7",107810,5,0,5,-0.34,0.04,34.67,5.011547
"2025-09-23 16:40:10.75",107811,6,1,5.2,-0.48,-0.14,34.71,5.222106
"2025-09-23 16:40:10.8",107812,1,10,5.78,-0.78,-0.21,34.7,5.832392
"2025-09-23 16:40:10.85",107813,2,38,5.3,-0.59,-0.3,34.68,5.332739
"2025-09-23 16:40:10.9",107814,3,0,5.37,-0.11,-0.09,34.71,5.371127
"2025-09-23 16:40:10.95",107815,4,0,5.49,-0.07,-0.01,34.7,5.490446
"2025-09-23 16:40:11",107816,5,0,5.82,-0.09,0.12,34.69,5.820696
"2025-09-23 16:40:11.05",107817,6,1,5.86,0.13,-0.01,34.68,5.861442
"2025-09-23 16:40:11.1",107818,1,10,5.9,0.23,0.13,34.68,5.904481
"2025-09-23 16:40:11.15",107819,2,38,5.9,0.21,0.02,34.7,5.903737
"2025-09-23 16:40:11.2",107820,3,0,6.11,0.14,0.08,34.7,6.111604
"2025-09-23 16:40:11.25",107821,4,0,5.79,0.24,-0.2,34.69,5.794972
"2025-09-23 16:40:11.3",107822,5,0,5.73,-0.1,-0.12,34.67,5.730873
"2025-09-23 16:40:11.35",107823,6,1,5.71,-0.1,-0.15,34.71,5.710876
"2025-09-23 16:40:11.4",107824,1,10,5.57,-0.13,-0.04,34.7,5.571517
"2025-09-23 16:40:11.45",107825,2,38,5.78,-0.24,0.09,34.68,5.78498
"2025-09-23 16:40:11.5",107826,3,0,6.19,-0.29,-0.1,34.7,6.196789
"2025-09-23 16:40:11.55",107827,4,0,5.93,-0.15,-0.42,34.71,5.931897
"2025-09-23 16:40:11.6",107828,5,0,5.35,-0.55,-0.12,34.71,5.378197
"2025-09-23 16:40:11.65",107829,6,1,5.39,-0.45,-0.25,34.68,5.408752
"2025-09-23 16:40:11.7",107830,1,10,5.21,-0.11,-0.16,34.69,5.211161
"2025-09-23 16:40:11.75",107831,2,38,5.53,0.42,-0.34,34.7,5.545927
"2025-09-23 16:40:11.8",107832,3,0,5.72,0.15,0.07,34.68,5.721966
"2025-09-23 16:40:11.85",107833,4,0,5.59,-0.01,0.11,34.66,5.590009
"2025-09-23 16:40:11.9",107834,5,0,6.27,-0.13,0.22,34.7,6.271348
"2025-09-23 16:40:11.95",107835,6,1,6.08,-0.14,0.26,34.69,6.081612
"2025-09-23 16:40:12",107836,1,10,5.6,0.56,0.04,34.7,5.62793
"2025-09-23 16:40:12.05",107837,2,38,5.6,0.19,-0.29,34.69,5.603222
"2025-09-23 16:40:12.1",107838,3,0,5.84,-0.29,-0.28,34.69,5.847196
"2025-09-23 16:40:12.15",107839,4,0,5.55,-0.1,0.14,34.68,5.550901
"2025-09-23 16:40:12.2",107840,5,0,5.74,-0.23,0.24,34.69,5.744606
"2025-09-23 16:40:12.25",107841,6,1,5.46,0.04,0.24,34.68,5.460146
"2025-09-23 16:40:12.3",107842,1,10,5.28,-0.46,-0.24,34.67,5.3
"2025-09-23 16:40:12.35",107843,2,38,5.33,0.25,-0.36,34.68,5.33586
"2025-09-23 16:40:12.4",107844,3,0,5.31,0.01,-0.47,34.69,5.310009
"2025-09-23 16:40:12.45",107845,4,0,5.77,-0.23,-0.24,34.69,5.774582
"2025-09-23 16:40:12.5",107846,5,0,5.87,0.04,-0.11,34.7,5.870136
"2025-09-23 16:40:12.55",107847,6,1,5.63,0.16,0.01,34.69,5.632273
"2025-09-23 16:40:12.6",107848,1,10,5.91,0.02,0.15,34.7,5.910034
"2025-09-23 16:40:12.65",107849,2,38,5.82,0.23,-0.09,34.68,5.824543
"2025-09-23 16:40:12.7",107850,3,0,5.78,0.28,0.2,34.68,5.786778
"2025-09-23 16:40:12.75",107851,4,0,6.02,0.04,0.29,34.7,6.020133
