"TOA5","CR6","CR6","3702","CR6.14.4.0","CPU:Gill_R3-50.CR6","258","gill_20hz"
"TIMESTAMP","RECORD","staA","staD","Ux_gill","Uy_gill","Uz_gill","temp_gill","AWS"
"TS","RN","none","none","m/s","m/s","m/s","Celsius",""
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2025-09-23 16:42:37.85",110753,2,38,5.92,-0.15,0.31,34.67,5.9219
"2025-09-23 16:42:37.9",110754,3,0,6.12,-0.13,0.19,34.67,6.12138
"2025-09-23 16:42:37.95",110755,4,0,6.34,-0.09,0.13,34.67,6.340639
"2025-09-23 16:42:38",110756,5,0,6.06,-0.13,0.14,34.7,6.061394
"2025-09-23 16:42:38.05",110757,6,1,5.91,0.49,0.2,34.66,5.930278
"2025-09-23 16:42:38.1",110758,1,10,5.33,-0.17,0.19,34.69,5.33271
"2025-09-23 16:42:38.15",110759,2,38,5.33,-0.19,0,34.68,5.333385
"2025-09-23 16:42:38.2",110760,3,0,5.83,0.05,-0.17,34.69,5.830214
"2025-09-23 16:42:38.25",110761,4,0,6.15,0.35,-0.06,34.69,6.159952
"2025-09-23 16:42:38.3",110762,5,0,5.91,-0.23,-0.01,34.67,5.914474
"2025-09-23 16:42:38.35",110763,6,1,5.82,-0.14,0.13,34.72,5.821684
"2025-09-23 16:42:38.4",110764,1,10,5.6,0.09,0.13,34.69,5.600723
"2025-09-23 16:42:38.45",110765,2,38,5.58,0.23,0.14,34.67,5.584738
"2025-09-23 16:42:38.5",110766,3,0,6.24,-0.22,-0.54,34.67,6.243877
"2025-09-23 16:42:38.55",110767,4,0,5.5,0.34,-0.1,34.67,5.510499
"2025-09-23 16:42:38.6",110768,5,0,5.49,-0.15,0.11,34.69,5.492048
"2025-09-23 16:42:38.65",110769,6,1,5.63,0.23,-0.05,34.69,5.634696
"2025-09-23 16:42:38.7",110770,1,10,5.68,0.56,0.21,34.67,5.707539
"2025-09-23 16:42:38.75",110771,2,38,5.54,0.25,0.25,34.69,5.545638
"2025-09-23 16:42:38.8",110772,3,0,6.01,0.67,0.12,34.68,6.047231
"2025-09-23 16:42:38.85",110773,4,0,5.5,0.41,0.16,34.7,5.515261
"2025-09-23 16:42:38.9",110774,5,0,4.77,0.18,-0.3,34.67,4.773395
"2025-09-23 16:42:38.95",110775,6,1,5.11,-0.12,-0.2,34.66,5.111409
"2025-09-23 16:42:39",110776,1,10,5.15,0.11,-0.61,34.67,5.151175
"2025-09-23 16:42:39.05",110777,2,38,5.75,-0.18,-0.45,34.68,5.752817
"2025-09-23 16:42:39.1",110778,3,0,5.79,-0.14,-0.11,34.68,5.791692
"2025-09-23 16:42:39.15",110779,4,0,6.2,-0.46,0.03,34.68,6.217041
"2025-09-23 16:42:39.2",110780,5,0,6.28,-0.45,0.15,34.68,6.296102
"2025-09-23 16:42:39.25",110781,6,1,5.87,0.21,0.12,34.69,5.873755
"2025-09-23 16:42:39.3",110782,1,10,5.9,0.2,0.06,34.68,5.903389
"2025-09-23 16:42:39.35",110783,2,38,6.11,-0.12,0.14,34.68,6.111178
"2025-09-23 16:42:39.4",110784,3,0,6,0.14,0.03,34.69,6.001633
"2025-09-23 16:42:39.45",110785,4,0,5.79,0.13,-0.08,34.69,5.791459
"2025-09-23 16:42:39.5",110786,5,0,5.75,0.12,0.05,34.66,5.751252
"2025-09-23 16:42:39.55",110787,6,1,5.64,0.11,-0.08,34.67,5.641073
"2025-09-23 16:42:39.6",110788,1,10,5.9,-0.18,0.23,34.66,5.902745
"2025-09-23 16:42:39.65",110789,2,38,6,-0.28,0.33,34.66,6.00653
"2025-09-23 16:42:39.7",110790,3,0,5.8,-0.2,0.03,34.69,5.803448
"2025-09-23 16:42:39.75",110791,4,0,6.13,-0.3,-0.17,34.67,6.137337
"2025-09-23 16:42:39.8",110792,5,0,5.42,-0.1,-0.01,34.68,5.420922
"2025-09-23 16:42:39.85",110793,6,1,4.82,0.4,0.29,34.68,4.836569
"2025-09-23 16:42:39.9",110794,1,10,5.33,0.45,0.65,34.7,5.348962
"2025-09-23 16:42:39.95",110795,2,38,5.06,0.63,0.52,34.68,5.099069
"2025-09-23 16:42:40",110796,3,0,4.81,0.2,-0.23,34.68,4.814156
"2025-09-23 16:42:40.05",110797,4,0,4.68,0.46,-0.72,34.67,4.702552
"2025-09-23 16:42:40.1",110798,5,0,4.52,0.28,-1,34.65,4.528664
"2025-09-23 16:42:40.15",110799,6,1,4.63,0.21,-0.46,34.66,4.63476
"2025-09-23 16:42:40.2",110800,1,10,5.75,-0.24,-0.08,34.68,5.755006
"2025-09-23 16:42:40.25",110801,2,38,5.8,0.19,-0.03,34.69,5.803112
"2025-09-23 16:42:40.3",110802,3,0,5.86,-0.15,0.06,34.67,5.86192
"2025-09-23 16:42:40.35",110803,4,0,5.45,0.16,0.04,34.67,5.452348
"2025-09-23 16:42:40.4",110804,5,0,5.09,0.15,-0.01,34.69,5.09221
"2025-09-23 16:42:40.45",110805,6,1,5.24,-0.13,-0.02,34.66,5.241612
"2025-09-23 16:42:40.5",110806,1,10,5.46,0.1,0.63,34.67,5.460916
"2025-09-23 16:42:40.55",110807,2,38,5.36,-0.08,0.04,34.7,5.360597
"2025-09-23 16:42:40.6",110808,3,0,5.49,-0.15,-0.25,34.69,5.492048
"2025-09-23 16:42:40.65",110809,4,0,5.56,-0.16,0.06,34.67,5.562302
"2025-09-23 16:42:40.7",110810,5,0,5.42,0.16,-0.13,34.69,5.422361
"2025-09-23 16:42:40.75",110811,6,1,5.61,-0.16,0.23,34.69,5.612281
"2025-09-23 16:42:40.8",110812,1,10,5.63,0.04,0.17,34.68,5.630142
"2025-09-23 16:42:40.85",110813,2,38,6.15,-0.23,0.11,34.68,6.154299
"2025-09-23 16:42:40.9",110814,3,0,6.2,-0.14,0.07,34.66,6.201581
"2025-09-23 16:42:40.95",110815,4,0,5.97,0.13,0.19,34.69,5.971415
"2025-09-23 16:42:41",110816,5,0,5.58,0.38,0.49,34.67,5.592924
"2025-09-23 16:42:41.05",110817,6,1,5.62,0.23,0.39,34.69,5.624704
"2025-09-23 16:42:41.1",110818,1,10,4.9,-0.6,-0.26,34.67,4.936598
"2025-09-23 16:42:41.15",110819,2,38,4.94,-0.45,-0.57,34.67,4.960454
"2025-09-23 16:42:41.2",110820,3,0,5.33,-0.28,-0.17,34.67,5.337349
"2025-09-23 16:42:41.25",110821,4,0,5.54,0.23,0.13,34.68,5.544772
"2025-09-23 16:42:41.3",110822,5,0,5.75,-0.17,0.41,34.67,5.752512
"2025-09-23 16:42:41.35",110823,6,1,5.87,0,0.36,34.68,5.87
"2025-09-23 16:42:41.4",110824,1,10,5.59,0.46,-0.19,34.69,5.608895
"2025-09-23 16:42:41.45",110825,2,38,5.54,0.04,-0.16,34.68,5.540144
"2025-09-23 16:42:41.5",110826,3,0,5.41,-0.22,0.08,34.66,5.414471
"2025-09-23 16:42:41.55",110827,4,0,5.22,0.47,0.01,34.68,5.241116
"2025-09-23 16:42:41.6",110828,5,0,5.53,-0.11,-0.5,34.65,5.531094
"2025-09-23 16:42:41.65",110829,6,1,4.92,-0.21,-0.55,34.69,4.924479
"2025-09-23 16:42:41.7",110830,1,10,5.42,0.01,-0.19,34.67,5.420009
"2025-09-23 16:42:41.75",110831,2,38,5.4,-0.12,-0.23,34.67,5.401333
"2025-09-23 16:42:41.8",110832,3,0,5.19,0.13,-0.65,34.67,5.191628
"2025-09-23 16:42:41.85",110833,4,0,5.3,-0.12,-0.08,34.68,5.301359
"2025-09-23 16:42:41.9",110834,5,0,5.32,-0.08,0.44,34.67,5.320601
"2025-09-23 16:42:41.95",110835,6,1,5.1,0.49,0.11,34.67,5.123485
"2025-09-23 16:42:42",110836,1,10,4.64,0.28,-0.34,34.68,4.64844
"2025-09-23 16:42:42.05",110837,2,38,5.11,0.87,-0.37,34.66,5.183532
"2025-09-23 16:42:42.1",110838,3,0,4.44,0,-0.25,34.69,4.44
"2025-09-23 16:42:42.15",110839,4,0,4.98,-0.43,-0.53,34.68,4.99853
"2025-09-23 16:42:42.2",110840,5,0,5.01,0.2,-0.04,34.68,5.013991
"2025-09-23 16:42:42.25",110841,6,1,5.16,0.02,0.08,34.68,5.160038
"2025-09-23 16:42:42.3",110842,1,10,5.65,-0.15,-0.03,34.67,5.651991
"2025-09-23 16:42:42.35",110843,2,38,5.61,0.03,0.22,34.66,5.61008
"2025-09-23 16:42:42.4",110844,3,0,5.58,-0.11,-0.27,34.66,5.581084
"2025-09-23 16:42:42.45",110845,4,0,5.4,0.2,0.05,34.66,5.403703
"2025-09-23 16:42:42.5",110846,5,0,5.72,-0.14,-0.04,34.7,5.721713
"2025-09-23 16:42:42.55",110847,6,1,6.19,-0.17,-0.14,34.71,6.192334
"2025-09-23 16:42:42.6",110848,1,10,5.83,-0.28,-0.12,34.68,5.83672
"2025-09-23 16:42:42.65",110849,2,38,5.79,-0.11,-0.03,34.69,5.791045
"2025-09-23 16:42:42.7",110850,3,0,5.7,0,0.27,34.68,5.7
"2025-09-23 16:42:42.75",110851,4,0,5.5,0.02,-0.07,34.67,5.500036
"2025-09-23 16:42:42.8",110852,5,0,5.17,-0.13,0.25,34.69,5.171634
"2025-09-23 16:42:42.85",110853,6,1,5.54,-0.48,-0.38,34.69,5.560755
"2025-09-23 16:42:42.9",110854,1,10,5.87,-0.28,-0.3,34.69,5.876674
"2025-09-23 16:42:42.95",110855,2,38,5.98,-0.09,-0.21,34.68,5.980677
"2025-09-23 16:42:43",110856,3,0,5.97,0.19,-0.04,34.67,5.973022
"2025-09-23 16:42:43.05",110857,4,0,5.81,-0.1,0.04,34.68,5.81086
"2025-09-23 16:42:43.1",110858,5,0,5.65,0.43,0.08,34.68,5.666339
"2025-09-23 16:42:43.15",110859,6,1,5.69,0.45,0.18,34.68,5.707767
"2025-09-23 16:42:43.2",110860,1,10,5.47,0.24,0.36,34.69,5.475263
"2025-09-23 16:42:43.25",110861,2,38,5.67,0.53,0.2,34.67,5.694716
"2025-09-23 16:42:43.3",110862,3,0,5.32,-0.07,0.01,34.68,5.320461
"2025-09-23 16:42:43.35",110863,4,0,5.24,-0.22,0.03,34.68,5.244616
"2025-09-23 16:42:43.4",110864,5,0,5.81,-0.15,0.1,34.69,5.811936
"2025-09-23 16:42:43.45",110865,6,1,5.56,0.22,-0.12,34.66,5.564351
"2025-09-23 16:42:43.5",110866,1,10,6.1,-0.22,0.14,34.7,6.103966
"2025-09-23 16:42:43.55",110867,2,38,6.17,-0.45,0.14,34.68,6.186388
"2025-09-23 16:42:43.6",110868,3,0,6,-0.56,0.24,34.68,6.026076
"2025-09-23 16:42:43.65",110869,4,0,5.77,0.2,0.16,34.68,5.773465
"2025-09-23 16:42:43.7",110870,5,0,5.66,0.62,-0.13,34.67,5.693856
"2025-09-23 16:42:43.75",110871,6,1,5.44,-0.09,-0.01,34.69,5.440744
"2025-09-23 16:42:43.8",110872,1,10,5.6,0.01,-0.01,34.66,5.600009
"2025-09-23 16:42:43.85",110873,2,38,5.51,-0.48,-0.13,34.67,5.530868
"2025-09-23 16:42:43.9",110874,3,0,5.41,0.43,-0.26,34.68,5.427062
"2025-09-23 16:42:43.95",110875,4,0,5.63,-0.12,-0.32,34.67,5.631279
"2025-09-23 16:42:44",110876,5,0,5.85,-0.21,-0.09,34.69,5.853768
"2025-09-23 16:42:44.05",110877,6,1,5.44,0.21,0.3,34.67,5.444052
"2025-09-23 16:42:44.1",110878,1,10,5.27,0.15,0.23,34.68,5.272134
"2025-09-23 16:42:44.15",110879,2,38,5.31,-0.11,0.07,34.66,5.311139
"2025-09-23 16:42:44.2",110880,3,0,5.37,-0.15,0.32,34.68,5.372094
"2025-09-23 16:42:44.25",110881,4,0,5.14,-0.09,-0.3,34.67,5.140788
"2025-09-23 16:42:44.3",110882,5,0,4.85,-0.63,-0.25,34.67,4.890746
"2025-09-23 16:42:44.35",110883,6,1,5.54,0.04,-0.29,34.7,5.540144
"2025-09-23 16:42:44.4",110884,1,10,5.63,0.21,-0.21,34.68,5.633915
"2025-09-23 16:42:44.45",110885,2,38,6.03,-0.16,-0.02,34.68,6.032123
"2025-09-23 16:42:44.5",110886,3,0,6.32,-0.24,0.22,34.7,6.324555
"2025-09-23 16:42:44.55",110887,4,0,6.11,-0.47,0.13,34.67,6.12805
"2025-09-23 16:42:44.6",110888,5,0,5.79,0.01,-0.08,34.68,5.790009
"2025-09-23 16:42:44.65",110889,6,1,5.53,0.5,-0.34,34.67,5.552558
"2025-09-23 16:42:44.7",110890,1,10,5.34,0.22,0.1,34.68,5.34453
"2025-09-23 16:42:44.75",110891,2,38,5.47,0.12,0.06,34.68,5.471316
"2025-09-23 16:42:44.8",110892,3,0,5.76,0.01,0.16,34.69,5.760009
"2025-09-23 16:42:44.85",110893,4,0,5.84,-0.12,0.12,34.7,5.841233
"2025-09-23 16:42:44.9",110894,5,0,5.6,0.23,-0.18,34.7,5.604721
"2025-09-23 16:42:44.95",110895,6,1,5.38,0.22,-0.26,34.66,5.384496
"2025-09-23 16:42:45",110896,1,10,5.78,-0.13,0.54,34.64,5.781462
"2025-09-23 16:42:45.05",110897,2,38,5.57,-0.22,-0.12,34.7,5.574343
"2025-09-23 16:42:45.1",110898,3,0,5.7,-0.16,-0.36,34.66,5.702245
"2025-09-23 16:42:45.15",110899,4,0,5.67,0.05,-0.29,34.68,5.67022
"2025-09-23 16:42:45.2",110900,5,0,5.83,-0.19,0.09,34.68,5.833095
"2025-09-23 16:42:45.25",110901,6,1,5.7,0.36,-0.15,34.69,5.711357
"2025-09-23 16:42:45.3",110902,1,10,4.89,0.48,-0.25,34.69,4.913502
"2025-09-23 16:42:45.35",110903,2,38,4.71,-0.09,-0.26,34.65,4.71086
"2025-09-23 16:42:45.4",110904,3,0,5.27,0.21,0.27,34.69,5.274182
"2025-09-23 16:42:45.45",110905,4,0,5.26,0.39,-0.12,34.65,5.274438
"2025-09-23 16:42:45.5",110906,5,0,5.65,-0.19,-0.23,34.66,5.653194
"2025-09-23 16:42:45.55",110907,6,1,5.68,0.35,-0.64,34.67,5.690773
"2025-09-23 16:42:45.6",110908,1,10,5.7,-0.28,-0.05,34.66,5.706873
"2025-09-23 16:42:45.65",110909,2,38,5.64,-0.15,0.03,34.68,5.641994
"2025-09-23 16:42:45.7",110910,3,0,6.02,-0.19,0.17,34.7,6.022997
"2025-09-23 16:42:45.75",110911,4,0,5.92,-0.47,-0.3,34.7,5.938628
"2025-09-23 16:42:45.8",110912,5,0,5.51,-0.11,-0.02,34.67,5.511098
"2025-09-23 16:42:45.85",110913,6,1,4.97,0.08,-0.14,34.68,4.970644
"2025-09-23 16:42:45.9",110914,1,10,4.84,0.06,-0.59,34.67,4.840372
"2025-09-23 16:42:45.95",110915,2,38,4.96,0.12,0.06,34.65,4.961452
"2025-09-23 16:42:46",110916,3,0,5.24,0.52,0.03,34.68,5.265738
"2025-09-23 16:42:46.05",110917,4,0,5.55,0.39,0.24,34.67,5.563686
"2025-09-23 16:42:46.1",110918,5,0,5.67,0.61,-0.59,34.66,5.702719
"2025-09-23 16:42:46.15",110919,6,1,5.45,-0.12,-0.03,34.67,5.451321
"2025-09-23 16:42:46.2",110920,1,10,5.15,-0.12,0.18,34.67,5.151398
"2025-09-23 16:42:46.25",110921,2,38,4.98,-0.08,-0.48,34.66,4.980642
"2025-09-23 16:42:46.3",110922,3,0,4.61,-0.19,-0.48,34.65,4.613914
"2025-09-23 16:42:46.35",110923,4,0,4.79,-0.14,-0.07,34.69,4.792046
"2025-09-23 16:42:46.4",110924,5,0,5.42,-0.23,-0.1,34.67,5.424878
"2025-09-23 16:42:46.45",110925,6,1,5.2,-0.6,-0.31,34.67,5.234501
"2025-09-23 16:42:46.5",110926,1,10,5.65,-0.24,-0.19,34.68,5.655095
"2025-09-23 16:42:46.55",110927,2,38,5.8,-0.13,0.07,34.7,5.801457
"2025-09-23 16:42:46.6",110928,3,0,5.73,-0.2,-0.01,34.68,5.73349
"2025-09-23 16:42:46.65",110929,4,0,5.76,-0.13,0.1,34.66,5.761467
"2025-09-23 16:42:46.7",110930,5,0,5.64,0.15,0.06,34.69,5.641994
"2025-09-23 16:42:46.75",110931,6,1,6.04,0.13,0.09,34.7,6.041399
"2025-09-23 16:42:46.8",110932,1,10,5.91,0.17,0.22,34.69,5.912444
"2025-09-23 16:42:46.85",110933,2,38,5.91,-0.13,0.15,34.67,5.911429
"2025-09-23 16:42:46.9",110934,3,0,5.7,0.14,0.38,34.68,5.701719
"2025-09-23 16:42:46.95",110935,4,0,5.76,-0.14,0.15,34.68,5.761701
"2025-09-23 16:42:47",110936,5,0,5.75,-0.09,0.12,34.68,5.750704
"2025-09-23 16:42:47.05",110937,6,1,5.71,0.19,0.4,34.67,5.71316
"2025-09-23 16:42:47.1",110938,1,10,5.5,0.41,-0.2,34.7,5.515261
"2025-09-23 16:42:47.15",110939,2,38,5.53,0.1,-0.13,34.69,5.530904
"2025-09-23 16:42:47.2",110940,3,0,5.57,0.14,-0.14,34.65,5.571759
"2025-09-23 16:42:47.25",110941,4,0,6.05,-0.43,0.04,34.69,6.065262
"2025-09-23 16:42:47.3",110942,5,0,6.23,0.17,0.14,34.7,6.232319
"2025-09-23 16:42:47.35",110943,6,1,5.71,0.07,0.24,34.67,5.710429
"2025-09-23 16:42:47.4",110944,1,10,5.96,0.65,-0.15,34.69,5.99534
"2025-09-23 16:42:47.45",110945,2,38,5.53,0.05,-0.2,34.69,5.530226
"2025-09-23 16:42:47.5",110946,3,0,5.56,0.03,0.06,34.68,5.560081
"2025-09-23 16:42:47.55",110947,4,0,5.33,0.13,0.01,34.68,5.331585
"2025-09-23 16:42:47.6",110948,5,0,5.51,-0.06,0.03,34.67,5.510327
"2025-09-23 16:42:47.65",110949,6,1,5.75,-0.16,0.11,34.68,5.752226
"2025-09-23 16:42:47.7",110950,1,10,5.58,0.27,0.2,34.67,5.586528
"2025-09-23 16:42:47.75",110951,2,38,5.34,0.14,0.09,34.72,5.341835
"2025-09-23 16:42:47.8",110952,3,0,5.16,-0.1,-0.5,34.69,5.160969
"2025-09-23 16:42:47.85",110953,4,0,5.69,-0.1,-0.3,34.67,5.690879
"2025-09-23 16:42:47.9",110954,5,0,5.56,0.13,0.16,34.69,5.56152
"2025-09-23 16:42:47.95",110955,6,1,6.38,-0.33,0.03,34.68,6.388529
"2025-09-23 16:42:48",110956,1,10,6.14,-0.15,-0.21,34.68,6.141832
"2025-09-23 16:42:48.05",110957,2,38,5.96,0.04,-0.15,34.69,5.960134
"2025-09-23 16:42:48.1",110958,3,0,5.82,-0.15,0.13,34.68,5.821933
"2025-09-23 16:42:48.15",110959,4,0,5.63,-0.11,0.15,34.7,5.631074
"2025-09-23 16:42:48.2",110960,5,0,5.83,0.03,0.02,34.69,5.830077
"2025-09-23 16:42:48.25",110961,6,1,5.57,0.23,-0.07,34.69,5.574747
"2025-09-23 16:42:48.3",110962,1,10,5.72,0.04,0.21,34.65,5.72014
"2025-09-23 16:42:48.35",110963,2,38,5.74,0.21,0.07,34.69,5.74384
"2025-09-23 16:42:48.4",110964,3,0,6.01,-0.13,0.15,34.71,6.011406
"2025-09-23 16:42:48.45",110965,4,0,5.95,-0.11,0.26,34.68,5.951016
"2025-09-23 16:42:48.5",110966,5,0,6.28,-0.46,0.13,34.7,6.296825
"2025-09-23 16:42:48.55",110967,6,1,6.16,-0.18,0.23,34.69,6.162629
"2025-09-23 16:42:48.6",110968,1,10,5.94,-0.18,0.09,34.67,5.942727
"2025-09-23 16:42:48.65",110969,2,38,5.81,0.18,-0.08,34.67,5.812788
"2025-09-23 16:42:48.7",110970,3,0,5.67,0.16,-0.01,34.67,5.672257
"2025-09-23 16:42:48.75",110971,4,0,5.59,-0.12,-0.06,34.69,5.591288
"2025-09-23 16:42:48.8",110972,5,0,5.53,-0.27,0.27,34.71,5.536588
"2025-09-23 16:42:48.85",110973,6,1,5.31,-0.08,0.4,34.66,5.310603
"2025-09-23 16:42:48.9",110974,1,10,5.53,0.2,0.18,34.67,5.533616
"2025-09-23 16:42:48.95",110975,2,38,5.25,0.1,0.51,34.65,5.250952
"2025-09-23 16:42:49",110976,3,0,4.82,-0.12,0.29,34.69,4.821494
"2025-09-23 16:42:49.05",110977,4,0,4.72,0.83,-0.37,34.67,4.792421
"2025-09-23 16:42:49.1",110978,5,0,5.15,0.51,-0.51,34.67,5.175191
"2025-09-23 16:42:49.15",110979,6,1,5.59,0.21,-0.24,34.68,5.593943
"2025-09-23 16:42:49.2",110980,1,10,5.94,-0.14,-0.1,34.69,5.941649
"2025-09-23 16:42:49.25",110981,2,38,6.05,-0.12,0.13,34.7,6.05119
"2025-09-23 16:42:49.3",110982,3,0,6.13,-0.13,0.21,34.67,6.131378
"2025-09-23 16:42:49.35",110983,4,0,6.28,-0.23,0.17,34.69,6.284211
"2025-09-23 16:42:49.4",110984,5,0,6.25,-0.15,0.35,34.69,6.2518
"2025-09-23 16:42:49.45",110985,6,1,5.88,-0.9,0.13,34.69,5.948479
"2025-09-23 16:42:49.5",110986,1,10,5.84,-0.64,-0.12,34.67,5.874964
"2025-09-23 16:42:49.55",110987,2,38,5.22,-0.63,-0.46,34.68,5.25788
"2025-09-23 16:42:49.6",110988,3,0,5.01,-0.35,-0.69,34.67,5.022211
"2025-09-23 16:42:49.65",110989,4,0,5.62,0.06,-0.54,34.67,5.62032
"2025-09-23 16:42:49.7",110990,5,0,5.53,-0.19,-0.51,34.69,5.533263
"2025-09-23 16:42:49.75",110991,6,1,5.56,-0.24,0.04,34.68,5.565177
"2025-09-23 16:42:49.8",110992,1,10,5.81,-0.26,0.41,34.69,5.815814
"2025-09-23 16:42:49.85",110993,2,38,5.67,0.11,-0.03,34.71,5.671067
"2025-09-23 16:42:49.9",110994,3,0,5.97,-0.29,-0.11,34.68,5.977039
"2025-09-23 16:42:49.95",110995,4,0,6.21,-0.29,0.02,34.68,6.216768
"2025-09-23 16:42:50",110996,5,0,6.07,-0.12,0.57,34.66,6.071186
"2025-09-23 16:42:50.05",110997,6,1,5.55,0.4,0.59,34.68,5.564396
"2025-09-23 16:42:50.1",110998,1,10,4.94,0.95,0.43,34.68,5.030517
"2025-09-23 16:42:50.15",110999,2,38,5.27,-0.1,-0.14,34.67,5.270949
"2025-09-23 16:42:50.2",111000,3,0,5.92,-0.52,0.21,34.67,5.942794
"2025-09-23 16:42:50.25",111001,4,0,5.41,-0.68,-0.3,34.69,5.452568
"2025-09-23 16:42:50.3",111002,5,0,5.67,-0.26,-0.31,34.68,5.675958
"2025-09-23 16:42:50.35",111003,6,1,5.66,-0.2,-0.56,34.68,5.663532
"2025-09-23 16:42:50.4",111004,1,10,5.33,-0.13,-0.05,34.71,5.331585
"2025-09-23 16:42:50.45",111005,2,38,5.65,0.04,-0.23,34.68,5.650142
"2025-09-23 16:42:50.5",111006,3,0,5.4,0.4,0.01,34.66,5.414795
"2025-09-23 16:42:50.55",111007,4,0,5.29,0.51,-0.14,34.68,5.314527
"2025-09-23 16:42:50.6",111008,5,0,5.29,0.24,-0.35,34.71,5.295442
"2025-09-23 16:42:50.65",111009,6,1,5.86,-0.14,-0.14,34.67,5.861672
"2025-09-23 16:42:50.7",111010,1,10,6.17,-0.28,-0.18,34.67,6.17635
"2025-09-23 16:42:50.75",111011,2,38,5.95,0.12,-0.2,34.69,5.95121
"2025-09-23 16:42:50.8",111012,3,0,5.63,0.25,0.22,34.7,5.635548
"2025-09-23 16:42:50.85",111013,4,0,6.01,0.5,0.03,34.68,6.030763
"2025-09-23 16:42:50.9",111014,5,0,5.57,-0.09,0.14,34.68,5.570727
"2025-09-23 16:42:50.95",111015,6,1,5.39,0.01,0.3,34.69,5.390009
"2025-09-23 16:42:51",111016,1,10,5.91,-0.16,0.39,34.7,5.912165
"2025-09-23 16:42:51.05",111017,2,38,5.38,0.36,0.22,34.69,5.392031
"2025-09-23 16:42:51.1",111018,3,0,5.06,0.37,-0.47,34.68,5.07351
"2025-09-23 16:42:51.15",111019,4,0,4.92,0.21,-0.41,34.65,4.924479
"2025-09-23 16:42:51.2",111020,5,0,5.69,-0.38,-0.22,34.69,5.702675
"2025-09-23 16:42:51.25",111021,6,1,5.6,0.01,0.13,34.67,5.600009
"2025-09-23 16:42:51.3",111022,1,10,6.07,0.03,0.4,34.7,6.070075
"2025-09-23 16:42:51.35",111023,2,38,5.98,-0.69,-0.02,34.67,6.019676
"2025-09-23 16:42:51.4",111024,3,0,5.62,-0.19,0.23,34.66,5.623211
"2025-09-23 16:42:51.45",111025,4,0,5.91,-0.16,0.36,34.69,5.912165
"2025-09-23 16:42:51.5",111026,5,0,5.73,0.13,0.1,34.67,5.731474
"2025-09-23 16:42:51.55",111027,6,1,5.48,0.06,-0.48,34.66,5.480328
"2025-09-23 16:42:51.6",111028,1,10,5.46,0.43,-0.03,34.67,5.476906
"2025-09-23 16:42:51.65",111029,2,38,5.91,-0.11,0.36,34.67,5.911023
"2025-09-23 16:42:51.7",111030,3,0,6.17,-0.22,0.03,34.69,6.173921
"2025-09-23 16:42:51.75",111031,4,0,5.66,0.16,-0.47,34.68,5.662261
"2025-09-23 16:42:51.8",111032,5,0,5.16,-0.73,-0.48,34.68,5.211381
"2025-09-23 16:42:51.85",111033,6,1,5.22,-0.73,-0.57,34.68,5.270797
"2025-09-23 16:42:51.9",111034,1,10,5.6,-0.11,-0.11,34.69,5.60108
"2025-09-23 16:42:51.95",111035,2,38,5.84,0.27,-0.06,34.69,5.846238
"2025-09-23 16:42:52",111036,3,0,5.71,0.15,0,34.7,5.71197
"2025-09-23 16:42:52.05",111037,4,0,6.22,0.04,0.09,34.69,6.220128
"2025-09-23 16:42:52.1",111038,5,0,5.7,0.13,0.04,34.69,5.701482
"2025-09-23 16:42:52.15",111039,6,1,5.55,0.03,0.18,34.68,5.550081
"2025-09-23 16:42:52.2",111040,1,10,5.76,0.1,0.17,34.68,5.760868
"2025-09-23 16:42:52.25",111041,2,38,5.76,0.06,0.05,34.67,5.760313
"2025-09-23 16:42:52.3",111042,3,0,5.46,-0.19,0.14,34.69,5.463305
"2025-09-23 16:42:52.35",111043,4,0,5.88,-0.46,0.18,34.7,5.897966
"2025-09-23 16:42:52.4",111044,5,0,5.85,-0.24,0.29,34.69,5.854921
"2025-09-23 16:42:52.45",111045,6,1,5.26,0.37,0.06,34.68,5.272997
"2025-09-23 16:42:52.5",111046,1,10,5.27,0.03,0.06,34.66,5.270085
"2025-09-23 16:42:52.55",111047,2,38,6.05,-0.19,0.05,34.69,6.052983
"2025-09-23 16:42:52.6",111048,3,0,5.99,0,0.35,34.64,5.99
"2025-09-23 16:42:52.65",111049,4,0,5.77,0.19,-0.39,34.68,5.773127
"2025-09-23 16:42:52.7",111050,5,0,5.61,0.27,-0.28,34.67,5.616494
"2025-09-23 16:42:52.75",111051,6,1,5.9,0.02,0,34.69,5.900034
"2025-09-23 16:42:52.8",111052,1,10,5.98,-0.64,-0.03,34.67,6.01415
"2025-09-23 16:42:52.85",111053,2,38,5.7,-0.23,0.15,34.7,5.704638
"2025-09-23 16:42:52.9",111054,3,0,5.47,-0.14,-0.54,34.68,5.471791
"2025-09-23 16:42:52.95",111055,4,0,5.08,0.21,-0.42,34.7,5.084339
"2025-09-23 16:42:53",111056,5,0,4.52,-0.11,-0.35,34.65,4.521338
"2025-09-23 16:42:53.05",111057,6,1,4.38,0.16,0.17,34.67,4.382922
"2025-09-23 16:42:53.1",111058,1,10,4.95,0.3,0.02,34.71,4.959083
"2025-09-23 16:42:53.15",111059,2,38,5.13,0.38,-0.45,34.68,5.144055
"2025-09-23 16:42:53.2",111060,3,0,5.55,-0.13,0.01,34.67,5.551522
